iter	RMSE
0	4.46833657
1	4.261101846
2	4.091735935
3	3.933197661
4	3.806780298
5	3.690102399
6	3.56510211
7	3.450504255
8	3.342268886
9	3.243150139
10	3.163512842
11	3.10858411
12	3.041719318
13	2.985752952
14	2.925742883
15	2.882748311
16	2.834805778
17	2.793352682
18	2.782755507
19	2.769059379
20	2.75960129
21	2.719966778
22	2.707883043
23	2.67378191
24	2.64878552
25	2.639690079
26	2.629533287
27	2.589744439
28	2.560017009
29	2.526464364
30	2.515605392
31	2.505370159
32	2.472265186
33	2.450046515
34	2.424886877
35	2.416998673
36	2.408486294
37	2.391003837
38	2.381180215
39	2.375154037
40	2.366069422
41	2.355750414
42	2.348178988
43	2.327184564
44	2.317853041
45	2.308468301
46	2.292061884
47	2.28579547
48	2.277218759
49	2.258417175
50	2.250443968
51	2.236183753
52	2.224124584
53	2.217730811
54	2.210034473
55	2.200621093
56	2.193368718
57	2.184622779
58	2.176279998
59	2.167989571
60	2.160213161
61	2.14410698
62	2.133922459
63	2.112920062
64	2.103832066
65	2.083230064
66	2.072665442
67	2.063196774
68	2.053328833
69	2.044400856
70	2.035600897
71	2.026488602
72	2.006126245
73	1.996475624
74	1.987920874
75	1.978913247
76	1.970263912
77	1.96199096
78	1.95391114
79	1.945442226
80	1.937418184
81	1.929360304
82	1.92139666
83	1.913628594
84	1.906007856
85	1.898611389
86	1.891206651
87	1.883819205
88	1.876474199
89	1.869270747
90	1.86212549
91	1.855198899
92	1.838381923
93	1.83150231
94	1.814725616
95	1.808058804
96	1.801107095
97	1.794959827
98	1.788368882
99	1.781853117
100	1.774841352
101	1.768489697
102	1.753066826
103	1.746662363
104	1.740326243
105	1.734211016
106	1.720538281
107	1.714399981
108	1.708323798
109	1.702392229
110	1.696531865
111	1.69071809
112	1.684833465
113	1.679149756
114	1.673489767
115	1.667795116
116	1.662279616
117	1.656820462
118	1.651314445
119	1.645924784
120	1.632847257
121	1.627535679
122	1.622275728
123	1.615526509
124	1.610333529
125	1.605201311
126	1.600114262
127	1.595048251
128	1.590102501
129	1.585197513
130	1.571980264
131	1.567129313
132	1.562372821
133	1.557710236
134	1.546847178
135	1.542126148
136	1.537474273
137	1.532893653
138	1.520990254
139	1.516603776
140	1.512092516
141	1.506020926
142	1.501586439
143	1.497207723
144	1.492862893
145	1.488578222
146	1.484338527
147	1.480395976
148	1.46974732
149	1.465557942
150	1.461319752
151	1.457203362
152	1.453138116
153	1.444828628
154	1.440795987
155	1.436795758
156	1.432822622
157	1.428831973
158	1.424945548
159	1.413683826
160	1.409785033
161	1.405934303
162	1.402189073
163	1.393175208
164	1.389376738
165	1.38560904
166	1.381875296
167	1.378190502
168	1.374477237
169	1.36697604
170	1.363546553
171	1.360086627
172	1.356508268
173	1.353131557
174	1.349604019
175	1.346113705
176	1.34266351
177	1.339223609
178	1.33581028
179	1.324901649
180	1.314848312
181	1.31154715
182	1.307917862
183	1.304578502
184	1.300969729
185	1.295471322
186	1.292181342
187	1.288919854
188	1.285691551
189	1.282484126
190	1.27785888
191	1.27467494
192	1.271518143
193	1.268395768
194	1.265299902
195	1.262380534
196	1.259211211
197	1.255418689
198	1.252394347
199	1.249398115
