iter	Passed	Remaining
0	139	27851
1	144	14258
2	147	9717
3	152	7449
4	156	6088
5	160	5186
6	164	4533
7	168	4044
8	172	3664
9	176	3360
10	180	3107
11	184	2897
12	188	2717
13	192	2563
14	196	2429
15	201	2311
16	204	2206
17	209	2113
18	213	2029
19	217	1954
20	221	1885
21	225	1822
22	229	1765
23	233	1712
24	237	1662
25	241	1616
26	245	1573
27	249	1532
28	253	1494
29	257	1461
30	261	1427
31	265	1395
32	269	1365
33	274	1338
34	278	1311
35	282	1285
36	286	1260
37	290	1237
38	294	1214
39	298	1192
40	302	1172
41	306	1152
42	310	1133
43	314	1114
44	318	1096
45	322	1079
46	326	1062
47	330	1045
48	334	1030
49	338	1015
50	342	1000
51	346	985
52	350	971
53	354	958
54	358	944
55	362	931
56	366	918
57	370	906
58	374	894
59	378	882
60	382	870
61	386	859
62	390	848
63	394	837
64	398	826
65	402	816
66	406	806
67	410	796
68	414	786
69	417	776
70	421	766
71	425	756
72	429	747
73	433	738
74	437	729
75	441	720
76	445	711
77	449	703
78	453	695
79	457	686
80	461	678
81	465	670
82	469	662
83	473	654
84	477	646
85	481	638
86	485	630
87	489	623
88	493	615
89	497	608
90	501	600
91	505	593
92	509	586
93	513	578
94	517	571
95	521	564
96	525	557
97	529	550
98	533	543
99	537	537
100	540	530
101	544	523
102	548	516
103	552	510
104	556	503
105	560	497
106	564	490
107	568	484
108	572	478
109	576	471
110	580	465
111	584	459
112	588	453
113	592	447
114	596	440
115	600	434
116	604	428
117	608	422
118	612	416
119	616	410
120	620	404
121	624	399
122	628	393
123	631	387
124	635	381
125	639	375
126	643	370
127	647	364
128	651	358
129	655	353
130	659	347
131	663	341
132	667	336
133	671	330
134	675	325
135	679	319
136	683	314
137	687	309
138	691	303
139	695	298
140	699	292
141	704	287
142	708	282
143	712	276
144	716	271
145	720	266
146	724	261
147	728	255
148	732	250
149	736	245
150	740	240
151	744	235
152	748	229
153	752	224
154	756	219
155	760	214
156	764	209
157	768	204
158	772	199
159	776	194
160	780	188
161	784	183
162	788	178
163	792	173
164	796	168
165	800	163
166	804	158
167	808	153
168	812	149
169	816	144
170	820	139
171	824	134
172	828	129
173	832	124
174	836	119
175	840	114
176	844	109
177	848	104
178	852	100
179	856	95
180	860	90
181	864	85
182	868	80
183	872	75
184	876	71
185	880	66
186	884	61
187	888	56
188	892	51
189	896	47
190	900	42
191	904	37
192	908	32
193	912	28
194	916	23
195	920	18
196	924	14
197	928	9
198	932	4
199	936	0
